ID,Nama Pelanggan,Tanggal Pembelian,Jumlah Pembelian
ID00053,Drs. Dalimin Mangunsong,2024-07-13,985501
ID00054,Vanesa Marpaung,2024-02-19,456383
ID00055,KH. Virman Nuraini,2024-07-02,663523
ID00056,Liman Sinaga,2025-03-09,198531
ID00057,Anita Kusumo,2024-06-25,486467
ID00058,Yance Samosir,2024-11-05,544160
ID00059,Asmianto Permadi,2024-05-15,454726
ID00060,Puti Chelsea Laksita,2025-02-17,588866
ID00061,"Puti Vanya Nasyidah, S.E.I",2024-01-23,869907
ID00062,Maryanto Kusmawati,2025-01-08,481907
ID00063,R.M. Eman Nuraini,2024-08-23,413402
ID00064,"Ir. Lintang Prabowo, M.Pd",2024-10-01,382566
ID00065,"H. Muhammad Pangestu, S.Pd",2024-03-04,246706
ID00066,Salsabila Yulianti,2025-04-17,204816
ID00067,Maida Maryati,2024-07-12,455405
ID00068,Devi Prayoga,2024-02-10,643941
ID00069,Atma Sirait,2024-10-09,17790
ID00070,Lanjar Puspasari,2024-05-30,616012
ID00071,Lanjar Prasetya,2025-02-28,532355
ID00072,Bagus Usamah,2024-11-17,897938
ID00073,Dartono Hidayat,2024-11-12,776418
ID00074,Satya Sitompul,2025-03-29,258250
ID00075,Kamidin Prakasa,2025-03-17,756722
ID00076,Salsabila Laksita,2024-07-04,536100
ID00077,Kayun Mustofa,2024-10-22,292329
ID00078,"Queen Permata, M.Kom.",2024-04-08,440794
ID00079,Purwanto Kusmawati,2024-12-26,981573
ID00080,"dr. Dadap Kuswoyo, S.IP",2024-02-05,582696
ID00081,"Irfan Thamrin, S.Farm",2024-01-24,614349
ID00082,Nadia Habibi,2024-12-04,394795
ID00083,"Martani Yuliarti, S.IP",2024-04-26,45087
ID00084,Hadi Sirait,2025-01-30,49704
ID00085,"R. Drajat Nababan, S.Kom",2024-05-28,605748
ID00086,drg. Cahyono Anggraini,2024-02-10,516743
ID00087,Estiawan Hariyah,2025-03-13,749122
ID00088,Taufan Hutagalung,2024-04-29,396482
ID00089,Yani Pudjiastuti,2025-03-19,128661
ID00090,Asirwanda Yulianti,2024-02-21,618455
ID00091,Dt. Bakiman Prakasa,2024-07-13,514923
ID00092,Hasim Laksita,2024-05-22,734038
ID00093,Gabriella Wacana,2024-08-20,93952
ID00094,Catur Wibowo,2024-11-21,158989
ID00095,Harsaya Saptono,2025-03-03,775654
ID00096,"KH. Jaeman Suwarno, S.Farm",2024-07-05,776816
ID00097,"Uchita Puspita, M.Kom.",2024-03-24,561978
ID00098,Dadap Sihombing,2024-07-08,911094
ID00099,Asmianto Prastuti,2024-06-30,797042
ID00100,"Puput Halim, S.Psi",2024-04-17,826704
ID00101,Asirwanda Padmasari,2024-12-09,302993
ID00102,Olivia Nuraini,2024-05-16,497521
ID00103,Asmianto Melani,2024-12-25,552060
ID00104,Soleh Nashiruddin,2025-04-24,92034
ID00105,Legawa Hidayat,2024-12-15,558779
ID00106,"Setya Prakasa, S.Sos",2024-11-27,943144
ID00107,Wardaya Purnawati,2024-02-06,649705
ID00108,Labuh Riyanti,2024-11-07,102742
ID00109,Lukman Hutapea,2024-11-21,267143
ID00110,Sakura Padmasari,2024-03-28,505401
ID00111,Drs. Iriana Rajata,2024-09-30,671297
ID00112,Mulyono Sihotang,2025-01-08,787714
ID00113,Eman Widodo,2024-05-05,705978
ID00114,Mumpuni Yuliarti,2024-03-24,711200
ID00115,Michelle Sihotang,2024-08-24,91874
ID00116,"R. Adika Haryanti, M.Ak",2024-07-13,727303
ID00117,Puti Belinda Nasyiah,2024-05-18,674469
ID00118,Jono Saptono,2025-04-18,575389
ID00119,Wardi Tampubolon,2024-11-23,846866
ID00120,Tasnim Prasasta,2024-12-18,617784
ID00121,Intan Manullang,2024-10-12,337679
ID00122,Zahra Palastri,2024-04-22,652818
ID00123,"Ilsa Suryatmi, M.TI.",2024-12-16,65337
ID00124,Mulyanto Puspasari,2024-06-15,957477
ID00125,Salimah Jailani,2025-03-07,370234
ID00126,Eman Latupono,2025-01-28,571023
ID00127,Paiman Puspasari,2025-02-01,826344
ID00128,Empluk Suryono,2024-01-29,21307
ID00129,R.A. Tina Siregar,2024-04-27,501644
ID00130,Mahfud Usada,2025-02-24,486089
ID00131,"Tgk. Ophelia Lestari, S.T.",2024-01-17,547566
ID00132,"Cut Cornelia Usada, S.Farm",2025-02-16,960067
ID00133,"Tgk. Aurora Adriansyah, S.Psi",2024-06-10,502025
ID00134,"R.M. Makuta Saptono, S.E.",2024-07-24,611846
ID00135,"Maimunah Puspasari, S.Farm",2024-05-17,779460
ID00136,Dt. Balidin Hutagalung,2024-02-03,357617
ID00137,"Eka Palastri, S.Gz",2024-04-18,451467
ID00138,"dr. Restu Puspasari, S.E.I",2025-04-12,380057
ID00139,Dian Gunarto,2025-04-27,846997
ID00140,Karimah Gunarto,2024-10-17,318929
ID00141,Fathonah Zulaika,2025-03-24,313257
ID00142,Mulyanto Jailani,2025-01-02,185645
ID00143,Victoria Purwanti,2024-06-10,47042
ID00144,"drg. Raina Mangunsong, S.H.",2024-04-18,738813
ID00145,"R. Wirda Nugroho, S.Farm",2024-12-01,977693
ID00146,Cemani Sitorus,2024-09-12,636667
ID00147,"dr. Rama Winarsih, S.H.",2024-07-21,795829
ID00148,Endah Kurniawan,2025-03-28,328841
ID00149,Ani Halimah,2025-04-13,772285
ID00150,Daliono Haryanti,2024-11-25,833154
ID00151,Ina Pradana,2024-08-22,601088
ID00152,Ajiono Wahyuni,2024-03-14,283094
ID00153,Heru Sitompul,2024-05-15,74401
ID00154,Zelaya Hidayat,2024-03-12,669868
ID00155,"T. Gara Yuniar, M.TI.",2024-05-06,506144
ID00156,Shania Nasyiah,2025-01-16,616224
ID00157,Ana Latupono,2024-10-14,187292
ID00158,Elma Prastuti,2024-10-02,610687
ID00159,Ani Kurniawan,2024-05-14,64127
ID00160,drg. Jelita Sihotang,2025-01-17,698201
ID00161,Rachel Melani,2024-10-26,315925
ID00162,Harsana Permata,2024-08-07,858188
ID00163,Dodo Gunawan,2025-04-04,783199
ID00164,"Maya Adriansyah, M.TI.",2024-10-25,664643
ID00165,"Dr. Mahfud Winarsih, S.Kom",2024-07-23,38624
ID00166,Mala Hidayat,2024-07-04,310748
ID00167,"Viman Sitompul, M.Ak",2024-04-22,518307
ID00168,Salimah Maheswara,2024-03-11,96518
ID00169,"Ifa Mayasari, S.Pd",2024-09-17,142981
ID00170,"Hasan Simbolon, S.Sos",2024-09-09,540155
ID00171,"Ida Puspasari, S.E.I",2024-02-16,90595
ID00172,Imam Widiastuti,2025-01-21,902805
ID00173,Shania Natsir,2024-01-25,831834
ID00174,Ir. Ilsa Waskita,2025-03-16,301345
ID00175,Dt. Gadang Suwarno,2024-02-26,274294
ID00176,Irfan Prastuti,2024-03-19,148976
ID00177,Hj. Janet Hastuti,2024-11-17,655710
ID00178,Maimunah Wulandari,2024-03-22,304620
ID00179,Kajen Kusmawati,2025-02-09,298586
ID00180,"KH. Oman Narpati, S.Pt",2024-12-14,909529
ID00181,Oliva Wijayanti,2024-08-04,279437
ID00182,"Lukman Sitorus, S.Pt",2024-11-01,24892
ID00183,"R.A. Samiah Saragih, S.H.",2024-02-02,787444
ID00184,"Sutan Cakrajiya Dongoran, S.Gz",2024-07-16,126968
ID00185,Jaswadi Suryatmi,2024-07-14,643152
ID00186,"Puti Mutia Agustina, M.Farm",2024-11-01,193095
ID00187,Nasim Winarno,2024-08-27,964342
ID00188,Lalita Prasasta,2024-09-27,630515
ID00189,Marwata Ardianto,2024-05-08,784863
ID00190,"KH. Timbul Kurniawan, S.Farm",2024-10-10,168477
ID00191,Cecep Maryati,2025-03-16,701174
ID00192,Alika Puspita,2025-04-27,478349
ID00193,Vero Maheswara,2024-01-06,397728
ID00194,Diana Hariyah,2024-12-14,857082
ID00195,"Karta Purwanti, M.Ak",2025-01-04,193919
ID00196,Usyi Handayani,2024-02-28,283943
ID00197,Drs. Maria Pudjiastuti,2024-12-15,830539
ID00198,Endah Kusmawati,2025-03-29,744815
ID00199,Hana Prayoga,2024-10-01,257669
ID00200,"Hj. Ika Nurdiyanti, M.Kom.",2025-01-19,518473
ID00201,"Digdaya Saefullah, M.M.",2024-05-16,199592
ID00202,Nasab Suwarno,2025-01-28,848202
ID00203,Empluk Sitorus,2024-11-24,563007
ID00204,Puput Hutapea,2024-06-23,913887
ID00205,Cakrawangsa Pradipta,2024-02-27,44697
ID00206,Talia Mangunsong,2024-05-30,369502
ID00207,"Gabriella Haryanto, S.Farm",2024-08-10,98501
ID00208,Julia Namaga,2024-03-21,162117
ID00209,Lidya Halim,2024-08-20,634473
ID00210,Rafi Andriani,2024-01-02,989309
ID00211,Vera Padmasari,2025-01-04,871639
ID00212,"Ayu Permata, S.Sos",2025-03-24,171638
ID00213,Agnes Thamrin,2025-01-03,888302
ID00214,Umi Wibisono,2024-05-14,530039
ID00215,"drg. Paulin Palastri, M.Ak",2024-09-13,799327
ID00216,Jinawi Prasetya,2025-01-25,443007
ID00217,Maya Laksita,2024-04-01,817789
ID00218,Harsaya Sirait,2024-09-16,411779
ID00219,"Mustika Waskita, S.E.",2025-04-12,259505
ID00220,"Dr. Dian Oktaviani, M.Pd",2024-02-24,702759
ID00221,Umaya Wijaya,2025-03-21,471567
ID00222,Ir. Salimah Dongoran,2024-11-16,771265
ID00223,Margana Aryani,2024-06-01,678545
ID00224,Sakti Hariyah,2025-03-06,185409
ID00225,Asirwanda Rajata,2024-11-23,231099
ID00226,Jane Prabowo,2024-09-16,615822
ID00227,Jane Sirait,2024-11-07,780033
ID00228,"dr. Estiawan Andriani, S.T.",2024-04-11,892725
ID00229,"Puti Nadine Budiyanto, M.Pd",2024-03-19,371838
ID00230,Wawan Tampubolon,2024-07-10,66964
ID00231,Martaka Hidayat,2025-01-25,683459
ID00232,"Ir. Arta Dabukke, S.H.",2024-03-23,287238
ID00233,Salman Damanik,2024-10-03,802182
ID00234,R. Halima Mahendra,2025-02-02,869340
ID00235,Salsabila Latupono,2025-04-17,131628
ID00236,R.A. Nadia Rajasa,2024-09-28,65074
ID00237,"Tgk. Caturangga Sudiati, M.Ak",2025-04-15,185741
ID00238,"Tina Latupono, S.E.",2024-01-01,496554
ID00239,Cici Prastuti,2024-11-02,428114
ID00240,Wisnu Saragih,2024-06-14,509365
ID00241,Hj. Keisha Widodo,2024-09-07,326006
ID00242,"Faizah Hutagalung, M.Farm",2024-01-10,509401
ID00243,"Yance Utami, S.H.",2024-02-27,792395
ID00244,Mursinin Sihombing,2025-04-20,798977
ID00245,"Hj. Rahayu Lazuardi, M.Farm",2024-07-04,977268
ID00246,"Dt. Ganjaran Nasyidah, S.Farm",2025-03-25,568388
ID00247,"Hairyanto Hidayat, M.TI.",2025-03-01,255011
ID00248,"Ganep Budiman, S.Farm",2025-02-17,408249
ID00249,"Dr. Cici Astuti, S.I.Kom",2024-06-06,726712
ID00250,"Tri Haryanti, S.E.I",2024-05-02,749883
ID00251,Elma Nurdiyanti,2024-01-30,419018
ID00252,"Emong Susanti, M.Pd",2024-05-03,507643
ID00253,"drg. Jaka Fujiati, M.Farm",2025-03-25,285382
ID00254,Janet Prasasta,2024-10-17,162200
ID00255,"Puti Indah Hartati, S.H.",2025-04-29,566208
ID00256,"drg. Kairav Suryatmi, S.Sos",2024-02-10,922552
ID00257,Ana Lailasari,2024-02-13,465851
ID00258,"dr. Elvina Laksita, S.Kom",2025-01-09,22439
ID00259,Wirda Rajata,2024-09-05,312820
ID00260,Indah Riyanti,2025-02-21,982263
ID00261,"Ika Puspita, S.Ked",2024-02-05,846039
ID00262,Sutan Bakiadi Permadi,2025-01-24,480622
ID00263,"Laila Lestari, M.Pd",2024-09-29,410560
ID00264,"Sutan Muhammad Kusmawati, M.Kom.",2025-01-27,721451
ID00265,Widya Budiyanto,2024-03-05,341023
ID00266,Emil Prasetya,2024-03-06,566011
ID00267,Talia Prasasta,2024-12-03,726047
ID00268,Salimah Prastuti,2024-08-31,53010
ID00269,Nabila Puspasari,2025-04-29,112093
ID00270,Tgk. Irwan Pudjiastuti,2024-10-08,972290
ID00271,Kamila Hasanah,2024-03-25,567101
ID00272,Ina Ramadan,2024-05-15,678387
ID00273,Banawa Nababan,2024-09-27,381015
ID00274,Devi Nasyiah,2025-03-22,895249
ID00275,"H. Cengkal Nababan, S.Kom",2024-11-06,462760
ID00276,"Novi Saefullah, M.Farm",2024-08-04,650140
ID00277,"Dr. Lembah Suryono, S.IP",2024-04-18,972636
ID00278,"R.A. Ida Pradana, S.I.Kom",2025-04-20,693740
ID00279,Gada Budiman,2024-10-03,910051
ID00280,"Patricia Mahendra, S.T.",2025-01-21,295831
ID00281,Asmadi Puspasari,2025-01-08,361238
ID00282,Tami Mahendra,2024-12-19,293457
ID00283,"Taswir Lestari, S.IP",2024-04-12,290061
ID00284,"Cut Queen Suryono, M.Kom.",2024-12-31,851289
ID00285,Maida Siregar,2024-06-08,113050
ID00286,Aslijan Ramadan,2024-07-23,277747
ID00287,"Dr. Calista Haryanto, S.Sos",2024-12-09,696128
ID00288,Belinda Permata,2024-11-28,622553
ID00289,"Mahfud Habibi, S.E.I",2024-07-10,420154
ID00290,Rosman Pratiwi,2024-08-12,493507
ID00291,Chelsea Prayoga,2025-04-05,820707
ID00292,Kalim Agustina,2024-09-21,718094
ID00293,Ir. Widya Safitri,2024-08-19,795478
ID00294,Prayoga Nurdiyanti,2024-03-02,263542
ID00295,Mila Handayani,2024-05-06,779983
ID00296,Zelda Rahmawati,2024-04-25,714527
ID00297,Ina Purnawati,2024-02-02,627322
ID00298,Cut Rahmi Januar,2024-06-22,817924
ID00299,"Sutan Luis Prabowo, S.T.",2024-01-11,214394
ID00300,"Bajragin Manullang, S.H.",2024-10-28,555209
ID00301,Kusuma Hutagalung,2024-10-10,363796
ID00302,Ade Wasita,2024-04-27,720638
ID00303,Shakila Riyanti,2024-10-28,733809
ID00304,Icha Firmansyah,2024-04-22,198656
ID00305,Edward Suryono,2024-01-04,338487
ID00306,"Zelda Hasanah, S.Pt",2024-02-06,584213
ID00307,"Daruna Saptono, M.Farm",2024-12-28,21091
ID00308,"Rangga Napitupulu, S.Farm",2024-11-19,715483
ID00309,Kenari Prasetyo,2024-01-31,18887
ID00310,"Cakrawala Santoso, S.E.I",2024-04-27,882089
ID00311,Asmuni Marbun,2024-02-04,81252
ID00312,"T. Legawa Purnawati, S.Pd",2025-04-08,22542
ID00313,Dewi Hastuti,2024-01-17,441225
ID00314,"Ilsa Waskita, S.T.",2025-03-16,112444
ID00315,Dr. Jumadi Farida,2024-06-18,560779
ID00316,Liman Gunarto,2024-02-06,118954
ID00317,Unjani Sinaga,2024-09-20,728798
ID00318,Tgk. Aisyah Iswahyudi,2024-05-01,477604
ID00319,Yono Wulandari,2024-05-22,378591
ID00320,"Ir. Rini Damanik, S.T.",2024-12-08,240074
ID00321,Cut Vanesa Natsir,2024-09-05,770480
ID00322,Padma Yulianti,2024-04-19,307058
ID00323,Indah Najmudin,2024-10-03,274132
ID00324,drg. Siska Lestari,2024-03-08,212458
ID00325,Jarwadi Tampubolon,2025-01-05,45695
ID00326,Juli Sinaga,2025-04-23,34851
ID00327,"Bala Marpaung, S.Psi",2025-03-27,659485
ID00328,Talia Lailasari,2024-10-19,106407
ID00329,Salimah Wacana,2024-10-22,69645
ID00330,"Drs. Ani Hasanah, S.Pt",2024-08-30,994094
ID00331,Hafshah Sinaga,2024-05-04,632999
ID00332,Prasetyo Waskita,2025-02-05,698500
ID00333,"Drs. Yunita Adriansyah, M.Pd",2024-08-30,947392
ID00334,Laras Habibi,2025-02-17,886042
ID00335,Karja Tarihoran,2024-07-27,237357
ID00336,Dr. Sari Handayani,2024-04-07,638500
ID00337,"Dt. Damu Santoso, M.Pd",2024-02-18,679078
ID00338,Wira Suwarno,2024-02-19,137706
ID00339,Tami Laksita,2024-12-03,752470
ID00340,Alambana Usamah,2024-08-08,135805
ID00341,R.A. Titin Manullang,2024-06-30,100582
ID00342,Puspa Budiman,2024-08-04,908043
ID00343,dr. Bakiman Prasetyo,2024-07-29,644059
ID00344,"Puti Malika Lazuardi, S.E.I",2024-08-27,146217
ID00345,Tina Siregar,2025-03-18,404220
ID00346,H. Empluk Agustina,2025-01-08,698279
ID00347,"Dr. Nadine Prasasta, M.M.",2024-01-28,810962
ID00348,R.M. Harjo Nainggolan,2024-12-10,953610
ID00349,Drs. Ulva Mansur,2024-11-30,689378
ID00350,"Puti Ika Agustina, S.Psi",2024-11-26,603566
ID00351,"Dr. Emas Adriansyah, S.Pd",2024-02-20,852216
ID00352,"Ifa Rahmawati, M.Farm",2024-02-01,203743
ID00353,"Jindra Maryadi, M.M.",2024-07-25,949525
ID00354,drg. Gangsar Sitorus,2025-01-07,126229
ID00355,KH. Kenari Waluyo,2024-06-22,739445
ID00356,Janet Nainggolan,2025-02-13,203213
ID00357,"Halima Pertiwi, S.Sos",2025-03-17,275641
ID00358,Sabri Zulkarnain,2024-02-25,318877
ID00359,Galiono Kusmawati,2024-05-07,499638
ID00360,"Yessi Wibowo, S.Sos",2024-04-08,702561
ID00361,"Prima Yulianti, S.E.I",2024-04-07,991658
ID00362,Ani Mahendra,2024-10-01,89392
ID00363,Drs. Gamblang Januar,2024-08-17,679809
ID00364,"Dr. Cinthia Novitasari, M.M.",2024-03-12,485470
ID00365,Najam Megantara,2024-08-04,977516
ID00366,Safina Mangunsong,2024-04-03,299809
ID00367,Jarwadi Saptono,2024-05-22,816731
ID00368,Sarah Widodo,2024-08-24,457724
ID00369,"Bajragin Sitompul, M.Pd",2024-05-07,735846
ID00370,Jamalia Utami,2025-03-23,957274
ID00371,"Vanya Laksita, M.Pd",2025-04-17,710007
ID00372,Lasmanto Hidayat,2024-02-08,817278
ID00373,Laswi Suwarno,2024-08-14,817528
ID00374,Pangeran Iswahyudi,2025-02-17,349113
ID00375,Cinthia Usada,2025-03-17,279836
ID00376,"Cinthia Handayani, S.E.",2025-03-14,179833
ID00377,"Ifa Dabukke, S.Gz",2024-10-08,828656
ID00378,Wulan Hakim,2024-02-20,87591
ID00379,Kani Wahyudin,2024-01-26,300756
ID00380,Dalima Prasasta,2024-11-29,824854
ID00381,dr. Karya Zulaika,2024-10-03,75417
ID00382,"R.M. Cawisono Natsir, S.Pt",2025-03-04,411393
ID00383,drg. Raina Zulaika,2024-01-08,417466
ID00384,Jamal Padmasari,2024-02-17,358813
ID00385,Daru Hariyah,2025-04-19,72976
ID00386,"Dodo Haryanti, S.T.",2025-01-20,280782
ID00387,"Adika Hastuti, S.Pd",2025-03-10,862283
ID00388,"Kenes Manullang, S.Pt",2024-05-01,287521
ID00389,Jelita Rahmawati,2024-03-26,196572
ID00390,Suci Anggraini,2024-07-27,471976
ID00391,"Hafshah Hasanah, S.Pd",2024-09-05,82769
ID00392,Harjo Laksmiwati,2024-09-03,525607
ID00393,Dasa Wibowo,2024-04-19,983693
ID00394,dr. Ratih Sihombing,2025-03-18,220416
ID00395,"Ida Damanik, S.Sos",2024-07-24,649947
ID00396,Ajeng Pratiwi,2025-04-07,421707
ID00397,"Hj. Victoria Hardiansyah, M.Ak",2024-01-31,197110
ID00398,"Najwa Suwarno, S.H.",2024-03-25,686838
ID00399,dr. Gawati Usada,2024-07-13,525959
ID00400,Lukman Ramadan,2024-01-02,123697
ID00401,"Perkasa Wahyuni, S.E.I",2024-07-18,160861
ID00402,"Bakti Utami, S.Gz",2024-05-15,576893
ID00403,Winda Farida,2025-04-19,816048
ID00404,Labuh Utama,2025-02-05,462202
ID00405,"Diah Iswahyudi, S.Pd",2025-02-05,238994
ID00406,Ulva Agustina,2024-08-20,653790
ID00407,Daliono Mustofa,2024-05-26,684588
ID00408,"Dr. Taufik Utama, M.TI.",2024-08-04,121410
ID00409,T. Radika Marbun,2024-12-22,966940
ID00410,Yunita Laksmiwati,2025-01-09,473031
ID00411,"T. Pangeran Sirait, S.IP",2025-02-05,760151
ID00412,Citra Megantara,2024-10-11,281577
ID00413,"Sutan Satya Wastuti, S.Sos",2024-12-04,118304
ID00414,"Drs. Karimah Iswahyudi, S.Sos",2025-01-02,46554
ID00415,Eman Nasyiah,2024-09-06,86461
ID00416,Jaeman Uwais,2024-03-20,83832
ID00417,"Pangestu Wulandari, S.T.",2024-04-07,609098
ID00418,drg. Yuni Uyainah,2024-05-31,772886
ID00419,Cici Wulandari,2024-04-21,272769
ID00420,Jarwi Dongoran,2024-01-30,824992
ID00421,Drs. Jane Suryatmi,2024-10-23,477541
ID00422,Marsudi Haryanto,2025-01-11,29676
ID00423,"Ridwan Hariyah, S.Pd",2024-10-04,950061
ID00424,"Hasan Latupono, S.E.I",2024-02-01,531877
ID00425,Warsita Firgantoro,2025-01-17,166085
ID00426,Nilam Latupono,2024-06-09,694578
ID00427,Daryani Nasyiah,2024-01-30,681440
ID00428,Harsanto Hasanah,2024-01-26,10909
ID00429,Salsabila Namaga,2024-10-26,988209
ID00430,Rini Mangunsong,2024-09-01,49673
ID00431,Safina Januar,2024-09-14,706889
ID00432,"Dr. Raisa Wasita, S.T.",2025-04-15,419451
ID00433,Muhammad Uwais,2025-03-12,289378
ID00434,Ibun Handayani,2024-09-28,168971
ID00435,Sabar Tarihoran,2024-03-21,744061
ID00436,Mahfud Uwais,2024-01-30,355852
ID00437,Ir. Gatot Halim,2024-09-17,958560
ID00438,Ika Nainggolan,2024-02-11,420339
ID00439,Warta Hasanah,2025-03-11,612553
ID00440,Mujur Prabowo,2024-04-05,13883
ID00441,"Manah Riyanti, S.Ked",2024-02-05,550418
ID00442,Panji Sitorus,2024-10-31,751978
ID00443,Budi Pratiwi,2024-02-04,995568
ID00444,Bagiya Puspasari,2024-12-11,818442
ID00445,Langgeng Pratama,2025-03-17,524514
ID00446,"R.A. Julia Maulana, M.Ak",2024-04-30,511365
ID00447,Enteng Maulana,2024-07-25,467239
ID00448,Kayun Ramadan,2024-03-02,433533
ID00449,"R.M. Balapati Wijayanti, S.Ked",2025-04-27,895049
ID00450,Aditya Tamba,2025-03-31,773119
ID00451,"KH. Dasa Rahmawati, S.Psi",2024-10-18,828871
ID00452,Cayadi Saptono,2024-05-06,861732
ID00453,Budi Andriani,2024-10-23,833532
ID00454,R. Panca Haryanto,2024-10-31,83504
ID00455,Melinda Tarihoran,2024-01-21,576366
ID00456,Drs. Balangga Hartati,2024-11-13,246817
ID00457,Sutan Warsita Susanti,2024-02-11,13468
ID00458,Ozy Wahyuni,2024-08-02,413097
ID00459,T. Jagapati Yuniar,2024-12-02,732742
ID00460,Aswani Kuswandari,2024-10-25,867710
ID00461,"drg. Maria Kurniawan, M.Kom.",2024-10-16,827710
ID00462,"Maimunah Hidayanto, S.Pt",2024-09-24,515483
ID00463,Rachel Maulana,2024-06-10,137091
ID00464,Budi Saefullah,2025-04-23,604798
ID00465,Hj. Restu Pudjiastuti,2024-05-13,571307
ID00466,"Jane Wibowo, M.Ak",2024-04-14,990462
ID00467,T. Jaeman Mayasari,2024-12-08,386353
ID00468,drg. Cinthia Latupono,2025-01-01,359636
ID00469,"Hj. Sadina Puspasari, S.Kom",2024-06-09,724956
ID00470,Mila Pradana,2024-05-02,327538
ID00471,Jessica Hasanah,2024-05-15,430075
ID00472,Lidya Kuswoyo,2024-07-21,67875
ID00473,Maria Sihotang,2024-03-08,672985
ID00474,"Dodo Wahyudin, S.E.I",2024-12-09,688506
ID00475,"Virman Kusmawati, S.Pt",2024-11-26,105071
ID00476,Radika Hutasoit,2024-06-02,393102
ID00477,Ian Kuswoyo,2024-08-22,570596
ID00478,"Ulya Wahyudin, S.E.I",2024-06-10,904794
ID00479,Dt. Langgeng Purwanti,2025-04-20,366581
ID00480,Tgk. Mumpuni Maheswara,2025-01-19,94365
ID00481,Kamila Widiastuti,2025-04-24,892042
ID00482,"dr. Taswir Habibi, S.Pd",2024-02-07,491966
ID00483,Tgk. Kamila Jailani,2024-01-05,807392
ID00484,Drs. Gabriella Mangunsong,2024-08-22,813741
ID00485,"Jaya Prasetyo, S.IP",2024-11-14,314043
ID00486,Zulfa Puspita,2024-10-15,689259
ID00487,Calista Setiawan,2024-02-21,222987
ID00488,R.A. Yani Aryani,2024-02-07,195197
ID00489,"Drs. Vivi Oktaviani, M.Ak",2024-10-02,591409
ID00490,"Margana Puspita, S.Ked",2024-04-19,51241
ID00491,Hj. Yance Santoso,2024-09-16,412824
ID00492,Cemeti Saputra,2024-05-15,702829
ID00493,"Vanesa Saragih, S.Psi",2024-03-08,210281
ID00494,Agnes Najmudin,2025-04-22,323388
ID00495,"R. Padmi Wahyuni, S.Sos",2024-06-27,739685
ID00496,Caket Usada,2025-03-27,419054
ID00497,Bakijan Nuraini,2024-02-05,950007
ID00498,Harimurti Andriani,2025-03-26,121954
ID00499,Jasmin Manullang,2024-05-05,671249
