ID,Nama,Tanggal,Jumlah
166,Stephanie Gonzalez,9/5/2024,933
167,Jose Richards,5/21/2024,939
168,Joseph Gilmore,1/25/2025,177
169,William Spencer,6/12/2024,512
170,Miranda Gilbert,8/9/2024,159
171,Ryan Raymond,3/20/2025,593
172,Robert Hudson,11/5/2024,654
173,Elizabeth Richards,1/9/2025,85
174,Kristi Bentley,7/8/2024,984
175,Kristen Austin,4/16/2025,818
176,Brenda Collins,5/21/2024,631
177,Samuel Chase,10/20/2024,623
178,Gregory Hill,1/7/2025,105
179,Andrea Hardin,5/10/2024,321
180,Andrew Mullins,6/12/2024,957
181,Madison Johnson MD,8/13/2024,420
182,Andrew Jordan,12/14/2024,380
183,Matthew Pierce,5/19/2024,258
184,Christine Roberts,1/13/2025,132
185,Jodi Reynolds,5/27/2024,723
186,Dawn Mcdonald,7/20/2024,415
187,Connie Nelson,9/23/2024,638
188,Stephen Lloyd,4/18/2025,763
189,Patrick Huber,8/31/2024,699
190,Samantha Shaffer,10/14/2024,273
191,Katelyn Miller,10/11/2024,527
192,Robert Wood,12/25/2024,226
193,James Lopez,2/27/2025,485
194,Angela Warren,2/17/2025,857
195,Dr. Alexander Walls MD,8/20/2024,317
196,Sara Jones,4/11/2025,59
197,Jesse Lyons,5/4/2024,311
198,Tracey Case,6/24/2024,532
199,Brittany Lee,3/3/2025,977
200,Katherine Myers,2/17/2025,425
201,Amber Mills,2/25/2025,232
202,Mark King,3/27/2025,594
203,Alison Johnson,8/13/2024,83
204,Sandra Anderson,2/28/2025,981
205,Jonathan Jones,8/1/2024,621
206,Carolyn Tucker,9/9/2024,274
207,Brandon Patel,4/21/2025,603
208,Beverly Greer,6/10/2024,511
209,Garrett Simmons,3/23/2025,982
210,Shannon Thompson,10/25/2024,445
211,Matthew Baker,1/30/2025,672
212,Dustin Holloway,10/22/2024,759
213,Ms. Connie Harrington DDS,7/27/2024,197
214,Willie Martinez,10/27/2024,400
215,Heather Johnson,7/23/2024,321
216,Nancy Brown,1/18/2025,459
217,Douglas Burton,5/22/2024,205
218,Anthony Shaw,3/23/2025,994
219,Caleb Jones,7/10/2024,390
220,Martin Norton,2/6/2025,433
221,Bradley Browning,9/15/2024,911
222,Lauren Torres,10/21/2024,643
223,Andrew Edwards,1/8/2025,662
224,Jermaine Allen,1/30/2025,260
225,Jennifer Hill,10/11/2024,459
226,Albert Barnes,6/24/2024,802
227,John Williams,12/11/2024,275
228,Lee Perez,4/18/2025,177
229,Sandra Sanders,2/23/2025,997
230,Jennifer Cooper,6/8/2024,675
231,Laura Young,1/19/2025,890
232,John Lopez,7/19/2024,852
233,Evan Wallace,7/26/2024,503
234,Anthony Guerrero,6/15/2024,281
235,Johnathan Barker,11/7/2024,410
236,Hannah Stafford,12/29/2024,458
237,Daniel Murphy,5/11/2024,855
238,Eric Davidson,3/27/2025,910
239,Joshua Gonzalez,6/4/2024,762
240,Ronald Francis,3/30/2025,821
241,Kelsey Fisher,7/9/2024,395
242,John Ross,10/10/2024,886
243,Tony Brown,9/20/2024,411
244,Stephen Cohen,10/29/2024,423
245,Mr. James Davis,3/11/2025,463
246,Bradley Mckee,6/16/2024,816
247,Stephen Newton,9/8/2024,610
248,Jeffrey Harrington,1/2/2025,663
249,Evelyn Reed DVM,9/23/2024,123
250,Dominic Maddox,10/13/2024,386
251,Sabrina Garcia,2/4/2025,901
252,Henry Patel,7/19/2024,294
253,Belinda Phillips,5/19/2024,860
254,Kimberly Greene,8/2/2024,299
255,Jennifer Lynch,2/12/2025,646
256,Justin Mendoza,6/13/2024,282
257,Aaron Payne,5/21/2024,969
258,Colin Williams,10/17/2024,352
259,Jonathan Larson,7/27/2024,778
260,George Johnson,8/19/2024,977
261,Keith Martin,10/12/2024,569
262,Sergio Skinner,9/30/2024,715
263,Holly Long,4/9/2025,181
264,Amanda Armstrong,8/4/2024,370
265,Angela Ellis,12/17/2024,798
266,Samantha Mahoney,3/6/2025,74
267,Rodney Miller,7/9/2024,178
268,Jill Rose MD,4/17/2025,843
269,Mathew Parker,5/8/2024,789
270,Nathan Wise,8/11/2024,127
271,Carol Dillon,7/11/2024,267
272,Jessica Graves,10/9/2024,49
273,Nancy Sanders,10/24/2024,330
274,Rodney York,11/25/2024,234
275,Mrs. Ashley Martinez,7/30/2024,678
276,Stephanie Alexander,2/4/2025,525
277,Cynthia Mitchell,1/19/2025,424
278,Joe Copeland,10/30/2024,355
279,Mandy Rodriguez,2/11/2025,369
280,Michelle Arnold,12/26/2024,988
281,Eugene Nelson DDS,11/4/2024,195
282,Laurie Dorsey,1/4/2025,956
283,Ashley Kane,4/9/2025,937
284,Debra Ballard,2/14/2025,436
285,Carolyn Martinez,6/26/2024,927
286,Anthony White,12/30/2024,589
287,Tina Burton PhD,8/15/2024,244
288,Daniel Sweeney,2/21/2025,73
289,Steven Velazquez,4/2/2025,686
290,Jacqueline Rivera,2/7/2025,895
291,Phillip Taylor,12/26/2024,778
292,James Peterson,1/1/2025,997
293,Melinda Morgan,2/6/2025,557
294,Laura Donovan,6/1/2024,363
295,Jessica Montgomery,6/30/2024,730
296,William Thomas,3/16/2025,470
297,Megan Jenkins,5/22/2024,89
298,Connie Lynn,9/22/2024,508
299,Jordan Jones,2/2/2025,576
300,Larry Castaneda,8/4/2024,306
301,Mr. Robert Woods DDS,3/2/2025,520
302,Jeffery Benjamin,1/21/2025,935
303,Elizabeth Griffith,6/15/2024,240
304,Kenneth Mueller,3/7/2025,769
305,Jesse Harris,4/2/2025,936
306,John Ramirez,6/12/2024,842
307,Charles King,10/18/2024,813
308,Sandra Miller,12/23/2024,341
309,Melanie Moran,6/21/2024,48
310,Brianna Wolfe,1/24/2025,862
311,Mark Mann,8/11/2024,721
312,Jasmine Todd,9/29/2024,591
313,Sheri Murphy,12/24/2024,993
314,Nicole Dyer,12/19/2024,451
315,Barry Griffith,1/1/2025,796
316,Amy Jones,3/1/2025,846
317,Cheryl Hall,3/16/2025,848
318,Melissa Bradley MD,10/13/2024,518
319,Anna Weaver,10/3/2024,508
320,Mary Johnson,4/27/2025,854
321,Robert Howard,9/9/2024,580
322,Erica Archer,10/14/2024,884
323,Laura Jordan,8/5/2024,390
324,Kaitlyn Lewis,4/23/2025,212
325,Tyler Sanders,7/3/2024,311
326,Travis Pitts,11/6/2024,868
327,Laura Gilbert,2/27/2025,841
328,Daniel Conner,5/7/2024,685
329,Carla Torres,8/20/2024,833
330,Jimmy Alvarez,7/14/2024,47
331,Dr. Beverly Hudson MD,12/25/2024,46
332,Katrina Jones,1/5/2025,838
333,Colin Frey,5/11/2024,70
334,Elizabeth Ortega,12/3/2024,969
335,Ashley Schultz,5/11/2024,406
336,Tanya Castro,10/15/2024,164
337,Taylor Roberts,7/1/2024,68
338,Jennifer Frye,1/28/2025,957
339,Amanda Flores,10/30/2024,663
340,Darren Grant,5/6/2024,917
341,Samuel Harris,6/7/2024,479
342,Keith Arroyo,10/27/2024,569
343,Shane Young,4/18/2025,637
344,David Moore,5/16/2024,316
345,Robert Campbell,5/2/2024,737
346,Hannah Long,1/11/2025,301
347,Christine Donaldson,1/25/2025,561
348,Jose Sanchez,10/21/2024,391
349,Amanda Martinez,9/23/2024,749
350,Austin Meyer,3/10/2025,388
351,Jordan Sanchez,10/11/2024,294
352,Erica Smith,4/4/2025,488
353,Tyler Robertson,10/31/2024,64
354,Jason White,12/25/2024,288
355,Phillip Garcia,11/17/2024,120
356,Bruce Cook,3/9/2025,704
357,Diane Cabrera,11/27/2024,289
358,Emily Arellano,5/14/2024,320
359,Barbara Hall,10/31/2024,606
360,Christina Norman,9/5/2024,194
361,Hunter Henderson,3/27/2025,406
362,Brian Mclean,11/30/2024,583
363,Stephanie Briggs,2/21/2025,820
364,Gabriela Williams,12/2/2024,651
365,Mary Porter,4/19/2025,607
366,Monica Reyes,12/21/2024,903
367,Brent Peterson,6/10/2024,730
368,Colleen Mays,12/13/2024,99
369,Joanne Ford,12/23/2024,76
370,Rachel Glover,4/6/2025,865
371,Heather Davis,11/26/2024,692
372,Heidi Smith,1/7/2025,316
373,Angela Acosta,11/29/2024,658
374,Mr. John Martin,9/10/2024,299
375,Hector Fitzgerald,10/22/2024,411
376,Matthew Howard,2/24/2025,902
377,Clifford Jenkins,2/8/2025,700
378,Jared Williamson,6/4/2024,167
379,Garrett Smith,1/7/2025,376
380,Lauren Schroeder,12/23/2024,956
381,Brian Rosales,8/27/2024,884
382,Melissa Davis,1/9/2025,964
383,Holly Elliott,6/1/2024,597
384,Priscilla Kelly,2/11/2025,591
385,Erica Marshall,1/24/2025,816
386,Brandon Gibson,10/19/2024,631
387,Christina Ward,9/30/2024,609
388,James Munoz,8/17/2024,158
389,Tiffany Hendrix,6/2/2024,939
390,William Ross,5/30/2024,332
391,Robin Murphy,1/30/2025,202
392,Kelly Gray,3/25/2025,555
393,Jeffrey Lopez,8/30/2024,93
394,James Andrews,7/14/2024,763
395,Cheryl Mcdonald,2/12/2025,517
396,Connor Foster,11/8/2024,702
397,Michael Reese,3/19/2025,769
398,Chad Edwards,11/18/2024,839
399,Dana Pacheco,12/26/2024,779
400,Nathan Wiggins,11/8/2024,856
401,David Lang,3/4/2025,747
402,Robert Martin,9/26/2024,627
403,Collin Spencer,4/28/2024,951
404,Michael Case,10/27/2024,192
405,Nancy Bullock,5/11/2024,542
406,Patricia Wells,3/31/2025,817
407,Nicholas Chavez,8/9/2024,691
408,William Duarte,10/23/2024,981
409,Rebecca Wilson,9/20/2024,651
410,Michael Stark,4/15/2025,182
411,Franklin Gallegos,5/28/2024,951
412,Nathan Baker,10/15/2024,509
413,Anthony Lin,10/17/2024,675
414,Darrell Ramos,1/12/2025,269
415,Michael Molina,9/23/2024,13
416,Michele Dawson,11/23/2024,325
417,Alvin Byrd,8/4/2024,669
418,John Morgan,5/17/2024,536
419,Christina Perez,7/11/2024,61
420,Courtney Williams,7/31/2024,992
421,Michael King,5/11/2024,866
422,Matthew Rice,3/5/2025,291
423,Jose Watkins,3/7/2025,223
424,Brenda Wright,11/22/2024,829
425,Rachel Roberts,1/7/2025,781
426,Nichole Smith,3/11/2025,661
427,Isaiah Davila,9/10/2024,327
428,Kenneth Hanson,10/29/2024,201
429,Tyler Lyons,11/2/2024,479
430,Mr. Paul Rivera,7/10/2024,170
431,Sarah Huang DDS,2/19/2025,111
432,Aaron Ross,11/1/2024,193
433,Dennis Rodgers,7/11/2024,208
434,Justin Reese,2/11/2025,741
435,Frank Franklin,10/13/2024,637
436,Christopher Perez,12/1/2024,961
437,Kristen Jensen,7/24/2024,179
438,Holly Bailey,4/2/2025,792
439,Frank Mejia,9/16/2024,516
440,Breanna Vega,8/30/2024,316
441,Terry Rice,12/22/2024,979
442,Tina Henderson,10/18/2024,757
443,Lisa Fowler,8/4/2024,672
444,Jessica Duncan,11/23/2024,63
445,Carla Harris,8/20/2024,505
446,Austin Price,8/31/2024,146
447,Alexis Griffin,10/14/2024,716
448,Brenda King,5/11/2024,684
449,Billy Cook,5/29/2024,744
450,Victor Valencia,8/5/2024,264
451,Kathleen Torres,10/3/2024,271
452,Karen Watts,10/18/2024,479
453,Mrs. Jennifer Grant,1/5/2025,124
454,Ryan Lambert,5/16/2024,835
455,Tracy Williams,12/23/2024,505
456,Larry Williams,5/30/2024,26
457,Kenneth Ward,9/23/2024,573
458,Melanie Lee,9/9/2024,553
459,Suzanne Kim,7/21/2024,989
460,Christopher Ward,4/2/2025,469
461,Angela Shepherd,4/15/2025,769
462,Jennifer Kennedy,4/27/2024,837
463,Dominic Baker,8/11/2024,510
464,Marissa Fitzgerald,1/13/2025,776
465,Todd Schwartz,9/16/2024,666
466,Victor Burns,6/13/2024,979
467,Nicholas Ruiz,1/28/2025,571
468,Amanda Petty,9/3/2024,393
469,Alexis Davis,12/21/2024,605
470,Zachary Patterson,7/3/2024,799
471,Vincent Peters,12/7/2024,612
472,Sheila Murray,11/27/2024,273
473,George Dalton,1/15/2025,569
474,Kristen Ibarra,7/10/2024,378
475,Sarah Duffy,8/4/2024,715
476,Jose Cobb,7/10/2024,885
477,Vanessa Obrien,12/3/2024,990
478,Daniel Ryan,7/13/2024,332
479,Jason Reynolds,5/20/2024,57
480,Julian Price,5/11/2024,992
481,Tamara Thompson,10/18/2024,58
482,Lawrence West,4/5/2025,548
483,Laura Kennedy,5/24/2024,709
484,Amy Keller,1/4/2025,98
485,Victoria Kirk,10/19/2024,343
486,Mrs. Candace Wood,5/26/2024,194
487,Lauren Mcdonald,4/13/2025,771
488,Megan Bridges,1/7/2025,115
489,William Blackburn,1/6/2025,181
490,Russell Tucker,12/25/2024,831
491,Joshua Nelson,9/26/2024,789
492,Robin Cox,10/12/2024,99
493,Dana Curry,11/4/2024,428
494,Adrian Moore,8/29/2024,109
495,Mr. James Keller,7/27/2024,184
496,Thomas Wilson,5/21/2024,188
497,Alicia Davenport,6/20/2024,501
498,Jenny Fernandez,3/30/2025,80
499,Sarah Frye,5/11/2024,354
500,April Joyce,8/10/2024,153
501,Dr. Emily George,7/18/2024,91
502,Kelly Cunningham,12/2/2024,152
503,Nathaniel Ferguson,1/12/2025,482
504,Cory Robinson,12/26/2024,957
505,Donna Johnson,9/21/2024,648
506,Christopher Compton,8/25/2024,711
507,Toni Walker,1/3/2025,975
508,Glenda Maldonado,3/20/2025,437
509,Richard Brown,8/6/2024,499
510,Adriana Evans,12/4/2024,855
511,Kaylee Moody,3/17/2025,880
512,William Carter,5/29/2024,437
513,Roy Gates,10/16/2024,34
514,Robert Pratt,11/25/2024,451
515,Emily Larson,3/29/2025,660
516,Natalie Murphy,2/23/2025,181
517,David Moore,4/28/2024,915
518,Clinton Smith,3/21/2025,429
519,Donna Murphy,2/26/2025,529
520,Deborah Willis,9/19/2024,297
521,Jordan Andrews,9/5/2024,743
522,Bridget Allen,11/11/2024,931
523,Susan Williams,12/2/2024,803
524,Douglas Decker,4/6/2025,457
525,Jennifer Mcdowell,6/4/2024,814
526,Jennifer Brown,3/8/2025,664
527,Emily Duarte,1/16/2025,221
528,Brad Palmer,4/9/2025,846
529,Jared Gilbert,4/21/2025,234
530,Trevor Weber,6/19/2024,960
531,Brenda Stewart,1/24/2025,133
532,Tammy Steele,5/4/2024,627
533,Brooke Smith,11/22/2024,564
534,Victoria Harris,9/28/2024,114
535,Terry Meza,10/4/2024,33
536,Stephanie French,6/11/2024,951
537,Renee Malone,6/7/2024,188
538,Stephanie Thompson,7/10/2024,169
539,Stacie Warren,5/4/2024,502
540,Madeline Rodriguez,8/22/2024,916
541,Andrew Bennett,9/20/2024,139
542,Kristi Williamson,5/19/2024,895
543,Gary Johnson,11/9/2024,25
544,Keith Thomas,9/21/2024,713
545,Melissa Dixon,7/15/2024,63
546,Rachel Rodriguez,9/19/2024,342
547,Doris Perez,12/2/2024,369
548,Kevin Jones,10/16/2024,171
549,Ronald Anderson,11/15/2024,731
550,Brianna Jackson,4/24/2025,544
551,Drew Short,2/26/2025,881
552,Debbie Perez,2/16/2025,492
553,Peter Williams,9/28/2024,350
554,Matthew Fletcher,1/15/2025,984
555,Brandi Suarez,12/25/2024,999
556,Jill Watkins,9/10/2024,472
557,Christina King,5/22/2024,552
558,David Lewis,10/8/2024,102
559,Peter Rivers,1/24/2025,349
560,Christina Clark,2/17/2025,639
561,Timothy Durham,4/22/2025,103
562,David Craig,2/20/2025,616
563,Marc Miranda,12/8/2024,358
564,Brenda Lewis,11/3/2024,117
565,Brian Warner,2/6/2025,744
566,Misty White,2/13/2025,214
567,Leslie Parker,5/24/2024,78
568,Michelle Hodges,1/27/2025,84
569,Miguel Hernandez,5/15/2024,655
570,Michael Phillips,7/3/2024,624
571,Cassandra Green,8/17/2024,718
572,Jeffrey Martin,12/4/2024,99
573,Tyler Spencer,3/6/2025,363
574,Courtney Jones,8/16/2024,153
575,Kathryn Arroyo,11/7/2024,209
576,Jessica Sullivan,2/19/2025,400
577,David Mcguire,9/8/2024,26
578,Dr. Donald Hull,5/15/2024,558
579,Jonathan Hamilton,4/6/2025,376
580,Julie Hansen,10/26/2024,52
581,Leslie Wallace,7/5/2024,716
582,Tommy Morales,2/15/2025,322
583,Shelly Whitehead,9/10/2024,254
584,Bobby Hernandez,6/26/2024,984
585,Brian Meza,11/14/2024,336
586,Jose Wilkerson DVM,12/16/2024,488
587,Mary Fitzgerald,8/29/2024,718
588,Daniel Reese,1/15/2025,349
589,Amanda Miller,3/29/2025,183
590,Amanda Holmes,8/26/2024,865
591,Howard Gray,10/14/2024,498
592,Kyle Mcknight,3/25/2025,385
593,Mallory Smith,9/25/2024,986
594,Wendy Dorsey,8/22/2024,601
595,Julia Watkins,2/8/2025,126
596,Jamie Palmer,12/19/2024,473
597,Jeffrey Lam,10/25/2024,338
598,Lisa Smith,12/26/2024,604
599,Scott Walker,9/12/2024,349
600,Tyler King,8/1/2024,877
601,Mary Walton,8/1/2024,962
602,Kelly Downs,6/11/2024,766
603,Ronald Jackson,4/27/2025,352
604,Robert Cox,7/21/2024,996
605,Kevin Short,11/11/2024,454
606,Brandon Gonzalez DVM,7/7/2024,604
607,Michael Martin,8/8/2024,522
608,Cory Fleming,9/25/2024,925
609,William Atkinson,11/5/2024,692
610,Michael Hamilton,7/18/2024,735
611,Mary Burns,12/11/2024,652
612,Stephanie Romero,7/12/2024,243
613,Kenneth Griffin,12/17/2024,317
614,Kimberly Morales,10/8/2024,137
615,Mrs. Sarah Smith DVM,9/19/2024,228
616,Paula White,9/10/2024,980
617,Ryan Stein,2/22/2025,458
618,Eric Coleman,6/14/2024,107
619,Kenneth Ibarra,6/16/2024,559
620,Joseph Dominguez,2/15/2025,965
621,Eric Green,8/6/2024,327
622,Joann Hernandez,8/17/2024,579
623,Mr. Brian Kidd,12/15/2024,258
624,Victor Gonzalez,3/26/2025,450
625,Ronald Lyons,3/29/2025,69
626,Robert Carter,12/7/2024,323
627,Jacob Chen,1/12/2025,79
628,Connie Tran,1/22/2025,804
629,Sarah Ramirez,8/22/2024,995
630,Susan Fleming,2/16/2025,753
631,Matthew Lee,11/15/2024,805
632,Robert Joseph,9/29/2024,377
633,Rebecca Trujillo,5/2/2024,968
634,Phillip Berger,2/18/2025,188
635,Derek Velasquez,8/19/2024,671
636,John Mack,2/10/2025,868
637,Angelica Graham,8/31/2024,559
638,Shane Adams,7/11/2024,776
639,Brian Dunn,5/29/2024,389
640,Andrew Serrano,12/4/2024,878
641,Elizabeth Gross,8/20/2024,613
642,Jamie Nguyen,2/3/2025,890
643,Angela Petersen,3/23/2025,100
644,Derek Martinez,8/10/2024,760
645,Vickie Kelly,8/12/2024,189
646,Christina Howard,11/8/2024,455
647,Willie Garcia,12/14/2024,804
648,Linda Schmidt,6/27/2024,651
649,Kyle Jones,3/12/2025,649
650,Kelly Liu,6/23/2024,889
651,Christine Bell,8/18/2024,809
652,Maria Boone,8/18/2024,394
653,Tyler Neal,12/2/2024,807
654,Ronald Wade,12/14/2024,313
655,Tracie White,1/4/2025,753
656,Kimberly Wood,7/26/2024,338
657,Scott Watkins,10/1/2024,104
658,Mark Berg,8/4/2024,832
659,Catherine Farrell,2/7/2025,549
660,Patricia Campos,9/7/2024,775
661,Michael Garcia,5/20/2024,507
662,Heather Harris,9/7/2024,656
663,Jacob Maldonado,4/2/2025,729
664,Scott Fuentes,3/4/2025,267
665,Michael Bruce,11/22/2024,869
666,John Mckenzie,6/30/2024,732
667,Julie Sanchez,9/17/2024,484
668,Lauren Martinez,3/19/2025,270
669,Michelle Smith,1/29/2025,967
670,Frank Sullivan,9/11/2024,429
671,Margaret Smith,9/1/2024,986
672,James Allison,8/20/2024,617
673,Mary Reyes,2/7/2025,561
674,Jonathan Lynch,3/30/2025,76
675,Sheila Kirk,2/5/2025,121
676,George Walker,7/22/2024,280
677,Jeffery Fox,2/18/2025,385
678,Stephanie Buchanan,4/16/2025,537
679,Michael French,1/13/2025,313
680,Mitchell Dalton,3/14/2025,27
681,Justin James,11/3/2024,703
682,Karen Hill MD,3/29/2025,719
683,Joshua Walker,10/13/2024,789
684,Debra Freeman,4/24/2025,241
685,Amanda Davis,5/27/2024,276
686,Sherri Beck,12/12/2024,187
687,Zachary Thomas,12/20/2024,66
688,Michael Murphy,3/3/2025,359
689,Amber Houston,6/20/2024,71
690,Rebecca Adams,11/10/2024,989
691,Anna Dunn,8/27/2024,80
692,Mary White,5/15/2024,761
693,Maria Parker,11/16/2024,111
694,Veronica Farmer,12/20/2024,961
695,Isabella Kennedy,9/21/2024,797
696,Nicole Spencer,12/20/2024,640
697,Paul Ortega,3/19/2025,186
698,Erin Shea,6/19/2024,210
699,Matthew Duran,6/6/2024,241
700,Andrea Fleming,7/2/2024,315
701,Henry Garrett,11/8/2024,383
702,Jessica Daniel,1/21/2025,986
703,Victoria Dalton,1/22/2025,603
704,Victoria Lee,4/27/2025,802
705,James Delgado,8/27/2024,242
706,Sarah Hall,12/15/2024,480
707,Paul Harris Jr.,1/9/2025,576
708,Amber Simpson,7/25/2024,469
709,Christine Hancock,7/5/2024,657
710,Patrick Warner,8/20/2024,496
711,Michael Curry DDS,12/16/2024,12
712,Joshua Blanchard,1/12/2025,126
713,Faith Forbes,10/12/2024,848
714,Kevin Ryan,8/25/2024,931
715,Jessica Johnson,10/22/2024,690
716,Kathryn Thompson,7/25/2024,942
